"","Date","ID","Druck","Kraft","HaltZeit","Temp","Dicke1","Dicke2","Dicke3","Dicke4","Dicke","Bieg","BiegSteif","maxKraft","BiegMax","Abst1","Abst2","Abst3","Abst4","kAbst.l","kAbst.k","Energ","FasSchH","Blase","Schmelz","DickeQuality","BiegQuality"
"100",2011-07-19,"550",16,460,1,185,3,3.1,3.2,3.2,3.125,8.11,616.52281134402,5800,10,263,129,153,131,41.6,26,2520,"kein","nein","gut",0,0
"101",2011-07-19,"551",14,400,3,185,3.05,3.15,3.3,3.3,3.2,7.59,658.761528326746,6200,10,260,129,150,131,41,26,2951,"kein","nein","gut",0,0
"102",2011-07-19,"553",14,400,2,185,3.15,3.2,3.4,3.4,3.2875,7.26,688.70523415978,6200,10,260,127,150,130,41,25.7,2550,"kein","nein","gut",0,0
"103",2011-07-19,"554",12,340,3,185,3.2,3.35,3.6,3.55,3.425,6.9,724.63768115942,6500,11,260,125,147,127,40.7,25.2,2891,"kein","nein","gut",0,0
"104",2011-07-19,"555",12,340,2,185,3.25,3.4,3.6,3.55,3.45,6.48,771.604938271605,6400,10,260,125,148,128,40.8,25.3,2711,"kein","nein","mittel",0,0
"105",2011-07-19,"556",10,280,3,185,3.6,3.7,3.8,3.85,3.7375,6.07,823.723228995058,6700,10,261,125,146,133,40.7,25.8,2873,"kein","nein","mittel",0,1
"106",2011-07-19,"557",20,575,1,190,2.75,2.8,2.9,2.9,2.8375,10.25,487.80487804878,5000,10,270,132,165,140,43.5,27.2,2460,"kein","nein","gut",1,0
"107",2011-07-19,"558",18,512,2,190,2.8,2.85,2.9,2.9,2.8625,8.99,556.173526140156,5700,10,270,132,162,136,43.2,26.8,2810,"kein","nein","gut",1,0
"108",2011-07-19,"559",18,512,1,190,2.9,3,3.05,3.05,3,8.8,568.181818181818,6000,10,265,129,156,132,42.1,26.1,2520,"kein","nein","gut",1,0
"109",2011-07-19,"560",16,460,3,190,2.85,2.9,3,3,2.9375,8.21,609.013398294762,6200,11,270,132,160,135,43,26.7,2930,"kein","nein","mittel",1,0
"110",2011-07-19,"561",16,460,2,190,2.9,3,3.05,3.05,3,8.603,581.192607230036,6000,10,267,132,156,133,42.3,26.5,2790,"kein","nein","gut",1,0
"111",2011-07-19,"562",16,460,1,190,3,3.05,3.1,3.1,3.0625,8.14,614.250614250614,6000,10,265,130,152,132,41.7,26.2,2571,"kein","nein","mittel",0,0
"112",2011-07-19,"563",14,400,3,190,3.05,3.1,3.3,3.3,3.1875,6.91,723.589001447178,6600,11,262,128,152,130,41.4,25.8,2846,"kein","nein","gut",0,0
"113",2011-07-19,"568",14,400,2,190,3,3.2,3.3,3.3,3.2,6.52,766.871165644172,7000,11,262,128,150,130,41.2,25.8,2784,"kein","nein","gut",0,0
