"","P.ID","Rezept.ID","Mahlgrad","Mehlmenge","Nasspressen","Wassermenge","Preinfusion.Menge","Pause.Preinfusion","Pressdruck","Geschmack","Suesse","Saeure","Bitterkeit","Koerper","Nachgeschmack","Crema..Farbe","Crema..Festigkeit","Crema..Hoehe","Crema..Tigerung"
19,3,9,3.5,60,20,25,30,5,50,-1,1,1,-2,0,1,-1,-2,-3,0
20,3,10,3.5,60,0,25,30,5,50,2,1,-1,1,1,-1,-2,-1,-1,0
21,3,11,3.5,40,20,25,30,5,50,1,1,-2,-2,-2,-2,-3,-3,-2,-1
22,3,12,3.5,40,0,25,30,5,50,2,1,-2,-3,0,0,-2,-3,-3,0
23,3,17,2,50,0,25,30,5,50,-2,-1,1,-1,2,2,-1,-1,-1,-1
24,3,18,2,50,20,25,30,5,50,-1,-1,-2,-1,-2,0,-2,-2,-2,1
25,4,1,1,60,20,25,30,5,50,-1,1,-1,-1,-1,0,-2,-1,-1,-1
26,4,2,1,60,0,25,30,5,50,0,1,-1,-1,0,0,0,-1,-1,1
27,4,3,1,40,20,25,30,5,50,2,1,-2,-3,-1,2,-2,-2,-2,-1
28,4,4,1,40,0,25,30,5,50,NA,1,-2,0,-1,0,0,-3,-3,-2
29,4,9,3.5,60,20,25,30,5,50,-1,-1,1,1,-1,-1,0,-1,-1,0
30,4,10,3.5,60,0,25,30,5,50,-1,-1,1,0,0,0,-1,-1,-2,0
31,4,11,3.5,40,20,25,30,5,50,1,1,-1,-1,0,1,-2,-1,-1,-2
32,4,12,3.5,40,0,25,30,5,50,2,2,-2,-2,1,1,-1,-2,-2,0
33,4,17,2,50,0,25,30,5,50,1,1,-1,-1,-1,1,-1,-1,-1,2
34,4,18,2,50,20,25,30,5,50,0,0,0,0,0,0,0,-1,-1,0
35,5,1,1,60,20,25,30,5,50,1,0,0,1,2,1,-1,-1,-1,0
36,5,2,1,60,0,25,30,5,50,-1,-1,0,2,2,2,-2,-2,-2,0
37,5,3,1,40,20,25,30,5,50,2,1,0,-1,1,0,-2,-1,-1,0
38,5,12,3.5,40,0,25,30,5,50,2,0,1,0,1,0,-3,-3,-2,0
39,5,17,2,50,0,25,30,5,50,1,1,0,-1,0,-1,-2,-2,-2,0
40,5,18,2,50,20,25,30,5,50,1,1,1,0,0,0,-2,-2,-2,0
41,6,3,1,40,20,25,30,5,50,-1,0,2,-1,-2,-1,-3,-2,-2,0
42,7,5,1,50,20,25,30,5,50,1,1,0,-2,-1,0,-1,-2,-2,0
43,7,6,1,50,0,25,30,5,50,-1,1,2,0,-1,-2,-1,-1,-2,0
44,7,7,2,60,20,25,30,5,50,0,0,2,-1,0,0,0,-1,-1,0
45,7,8,2,60,0,25,30,5,50,1,1,0,-1,1,0,-1,-1,-1,0
46,7,13,2,40,20,25,30,5,50,2,0,-2,0,2,0,-2,-1,-2,0
